surveyDatetime,beach_Sc,trib_NorthFishCreekAtHwy2_TribSc,beach_NoGeese,Whittlesey_Discharge_Diff_6,HeightAboveSeaLevel_Mean_1,HeightAboveSeaLevel_Mean_2,HeightAboveSeaLevel_Mean_6,HeightAboveSeaLevel_Mean_12,HeightAboveSeaLevel_Mean_24,HeightAboveSeaLevel_Diff_24,AirTemperature_Mean_1,AirTemperature_Mean_2,AirTemperature_Mean_6,AirTemperature_Mean_12,AirTemperature_Mean_24,AirTemperature_Mean_48,AirTemperature_Mean_72,AirTemperature_Mean_120,CloudCover_Mean_1,CloudCover_Mean_2,CloudCover_Mean_6,CloudCover_Mean_12,CloudCover_Mean_24,Wind_Mean_1_perp,Wind_Mean_2_perp,Wind_Mean_6_perp,Wind_Mean_12_perp,Wind_Mean_24_perp,Wind_Mean_1_par,Wind_Mean_2_par,Wind_Mean_6_par,Wind_Mean_12_par,Wind_Mean_24_par,AirTemperature_StDev_2,AirTemperature_StDev_6,AirTemperature_StDev_12,AirTemperature_StDev_24,AirTemperature_StDev_48,AirTemperature_StDev_72,AirTemperature_StDev_120,Sqrt.Precipitation.over.upload.maslowski.Sum..1hr,Sqrt.Precipitation.over.upload.maslowski.Sum..2hr,Sqrt.Precipitation.over.upload.maslowski.Sum..6hr,Sqrt.Precipitation.over.upload.maslowski.Sum..12hr,Sqrt.Precipitation.over.upload.maslowski.Sum..24hr,Sqrt.Precipitation.over.upload.maslowski.Sum..48hr,Sqrt.Precipitation.over.upload.maslowski.Sum..72hr,Sqrt.Precipitation.over.upload.maslowski.Sum..120hr,log.Whittlesey_Discharge_Mean_1,log.Whittlesey_Discharge_Mean_2,log.Whittlesey_Discharge_Mean_6,log.Whittlesey_Discharge_Mean_12,log.Whittlesey_Discharge_Mean_24,log.Whittlesey_Discharge_Mean_48,log.Whittlesey_Discharge_Mean_72,log.Whittlesey_Discharge_Mean_120,log.Whittlesey_Discharge_Min_1,log.Whittlesey_Discharge_Min_2,log.Whittlesey_Discharge_Min_6,log.Whittlesey_Discharge_Min_12,log.Whittlesey_Discharge_Min_24,log.Whittlesey_Discharge_Min_48,log.Whittlesey_Discharge_Min_72,log.Whittlesey_Discharge_Min_120,log.Whittlesey_Discharge_Max_24,log.trib_NorthFishCreekAtHwy2_TribTurbidity,yday,log.beach_TurbidityBeach
6/9/2010 10:45,97.3,145.7,15,-2,-0.004282733,0.00102354,-0.014329413,-0.001669886,0.001210176,-0.031236143,11.377149,11.57606,11.076495,10.69845946,10.4181799,11.85451289,11.17599535,11.06266675,0.77486324,0.67903357,0.416841797,0.574542307,0.739150151,2.565017,3.091147,4.57011887,4.21663562,3.95782772,-6.177679,-6.092129,-4.07651592,-3.12508783,-0.21508145,0.1989105,0.550012191,0.563876284,0.557987536,2.767366992,2.768767176,2.463538182,0,0,0,0.13137405,4.978413515,5.044681495,5.044681495,5.301061362,1.380211242,1.385606274,1.401055726,1.388101202,1.370142847,1.305910003,1.283504757,1.278433477,1.380211242,1.380211242,1.380211242,1.361727836,1.230448921,1.230448921,1.230448921,1.230448921,1.431363764,1.149219113,160,0.158362492
6/10/2010 10:20,114.7,134.6,0,0,0.06386909,0.028191124,-0.00183093,0.00258185,0.00071987,0.025143062,12.932144,12.774819,10.877538,10.2470036,11.8250139,11.1215969,11.84467989,11.08379855,0.1981048,0.3180661,0.354016378,0.220434883,0.456197135,-2.306752,-1.9682657,1.0607918,1.80220243,0.940139972,0.3026268,-0.0681783,-0.493026588,-2.026336744,-3.913965105,0.157325,1.85325104,1.507536896,2.093873452,1.686008167,2.56265008,2.456797237,0,0,0,0,1.116418161,5.102057491,5.166739872,5.373811813,1.278753601,1.278753601,1.278753601,1.28510703,1.312600439,1.341157437,1.307303451,1.283595183,1.278753601,1.278753601,1.278753601,1.278753601,1.278753601,1.230448921,1.230448921,1.230448921,1.380211242,0.976349979,161,0.672097858
6/11/2010 10:27,140,122.3,2,10,0.035941478,0.034939396,0.000280868,0.004705903,0.005230801,0.015500303,11.320089,10.72491,10.845321,10.3082873,11.1252219,11.47511789,11.12280522,11.29564436,0.97054225,0.985271125,0.956144488,0.944689874,0.770027104,-2.639321,-0.72771885,-1.4922164,-0.84999094,-1.963343812,4.108212,4.01518,3.35854657,3.17319316,3.06150363,0.5951795,0.886708904,0.829594661,1.222549427,1.749826788,1.547027574,2.417824301,2.678636892,3.636537722,3.860103846,3.860103846,3.860103846,4.018307008,6.397764636,6.449465296,1.383815366,1.338456494,1.284430734,1.269979677,1.263636069,1.28867392,1.316892504,1.285219643,1.322219295,1.255272505,1.255272505,1.255272505,1.255272505,1.255272505,1.230448921,1.230448921,1.447158031,2.028571253,162,0.712649702
6/12/2010 14:10,166.7,163.8,0,-4,-0.05074597,-0.02938526,0.0016384,-0.002992668,0.007613847,-0.020545224,10.858103,10.9402558,10.4693352,10.02297546,10.06384331,10.49390065,10.92526423,11.18933728,0.8839429,0.91889835,0.963732765,0.981866383,0.98764536,-3.3849291,-2.82925,-2.76221032,-3.0469024,-4.15288353,1.5795587,1.3016598,1.07272245,1.501540838,2.640150998,0.08215275,0.509980799,0.583021226,0.695320335,1.0034369,1.557881093,2.01413913,0,0,0,0.217810872,0.684540415,5.019957032,5.132776043,7.203830196,1.51851394,1.525044807,1.544192111,1.587710965,1.800318334,1.630366846,1.544725193,1.466763852,1.51851394,1.51851394,1.51851394,1.51851394,1.51851394,1.255272505,1.255272505,1.230448921,2.089905111,1.7084209,163,1.346352974
6/21/2010 9:57,121.5,132.6,0,0,0.003157733,0.010735709,0.012753152,0.003998491,-0.000204677,0.019392983,15.924534,15.848657,13.7659129,13.03297404,15.31361381,14.23889744,14.79627594,14.67591814,0,0,0.05302146,0.100980172,0.133265351,-0.7690186,-0.82857975,1.00503028,1.969284791,0.561853581,0.6949145,0.4607533,0.516516072,0.41600628,0.92993891,0.075877,1.90747294,1.568737358,3.022393739,2.67081456,2.522950281,2.223985088,0,0,0,0,0,0,0,1.461685318,1.278753601,1.276461804,1.27600199,1.26904571,1.265525335,1.26927939,1.272445019,1.28010011,1.278753601,1.255272505,1.255272505,1.255272505,1.255272505,1.255272505,1.255272505,1.255272505,1.278753601,0.603144373,172,0.630427875
6/22/2010 9:38,130.4,121.3,15,-7,-0.032907084,-0.008552554,0.004776036,0.005537934,0.002226656,0.010539696,15.598572,15.635179,13.207608,12.70612588,13.93370877,14.62366129,14.13716788,14.74259132,0.9890136,0.689747535,0.71634555,0.72508978,0.702875125,-0.9728082,-1.0750891,1.0696745,1.75967269,0.03269138,-0.8596857,-0.51474735,-0.617213803,-0.291709861,-0.020868451,0.036606999,1.723082782,1.334340907,1.868248428,2.605502357,2.437139473,2.203447077,0,0,0.216346858,0.216346858,5.541832821,5.541832821,5.541832821,5.731355423,1.474216264,1.480006943,1.506505032,1.574956776,1.510410948,1.405021756,1.365300749,1.333286022,1.462397998,1.462397998,1.462397998,1.462397998,1.255272505,1.255272505,1.255272505,1.255272505,1.755874856,2.003460532,173,0.85308953
6/23/2010 9:40,136.8,122.4,0,-1,0.007341159,-0.00527324,0.009441068,0.002500064,0.001434272,0.009312084,14.023369,14.182596,13.916374,14.03167196,15.0604059,14.49705733,14.76924283,14.6765885,0.7753331,0.8369124,0.754769567,0.485101356,0.361002464,4.5939989,4.3497878,2.97653357,2.48722372,0.354099105,-0.91017977,-1.11838758,-0.428394305,-0.694247977,-0.141835188,0.159227,0.310798146,0.451351493,1.442724642,1.76160861,2.293897946,2.254320398,0,0,0.522651582,1.607586849,2.131100555,5.93746584,5.93746584,5.93746584,1.322219295,1.324282455,1.336059278,1.347134783,1.384353414,1.452246575,1.3984782,1.353473829,1.322219295,1.322219295,1.322219295,1.322219295,1.322219295,1.255272505,1.255272505,1.255272505,1.462397998,1.525044807,174,0.851258349
6/24/2010 10:13,125.2,130.3,0,2,-0.019080615,-0.026267952,-9.05E-05,-0.005424637,-0.00153357,-0.00529189,16.760523,16.605264,14.59245,14.10401446,14.57018444,14.86520698,14.53614023,14.44336686,0,0,0.07348729,0.150616712,0.390758589,-2.3406586,-1.4199021,0.697486315,1.595904949,1.639632195,-2.0737338,-2.7553885,-2.82623892,-2.92733416,-2.9135026,0.155259,1.466868695,1.173576585,1.258460609,1.430186332,1.634556946,2.12233666,0,0,0,0,2.965937135,3.652173691,6.637038774,6.637038774,1.361727836,1.361727836,1.365113432,1.344195716,1.335257256,1.358924215,1.416856769,1.363687176,1.361727836,1.361727836,1.322219295,1.322219295,1.322219295,1.322219295,1.255272505,1.255272505,1.380211242,1.851869601,175,0.63447727
7/5/2010 9:59,98.2,137.1,0,1,-0.000439843,0.003814687,-0.004445504,-0.001156003,0.000123315,-0.001845362,19.99012,19.58428,18.0530482,17.9711546,18.3742988,18.6171331,18.20579033,16.99490497,0.5149847,0.42949781,0.409451078,0.373174083,0.408907174,-1.404645,-1.3738003,1.2332972,2.19849782,2.795278724,0.3135354,-0.4470592,-0.326094515,-0.529350412,-1.29125367,0.405845,1.1277168,0.878791662,0.842314676,1.046088232,1.308187766,2.150815351,0,0,0,0,0.902743097,0.902743097,0.902743097,0.950824624,1.271841607,1.269512944,1.269512944,1.262688344,1.262925469,1.260262245,1.261762318,1.265855114,1.255272505,1.255272505,1.255272505,1.255272505,1.255272505,1.255272505,1.255272505,1.255272505,1.278753601,0.733999287,186,0.201397124
8/9/2010 10:00,125.5,121.7,0,0,-0.031130789,-0.015725072,-0.001928681,-0.000988733,0.001145465,-0.009786863,21.269537,21.115134,20.6801038,20.2187741,20.9452645,20.6449876,20.17897485,20.19330503,0.8402262,0.908991,0.842832035,0.816176186,0.709984676,1.497483,1.223145,0.460544948,0.997801099,-0.737664771,-2.258818,-2.18349,-0.95156677,-1.173552561,0.367759478,0.1544035,0.569062815,0.655109437,0.972892622,1.281989055,1.627316611,1.669908246,0,0,0,0,0,4.283622423,4.283622423,4.316097289,1.255272505,1.255272505,1.255272505,1.255272505,1.256717746,1.264676182,1.253556067,1.247506824,1.255272505,1.255272505,1.255272505,1.255272505,1.255272505,1.230448921,1.230448921,1.230448921,1.278753601,1.064457989,221,0.952792443
