surveyDatetime,log_beach_EColi,beach_EColiValue,beach_Sc,beach_WaterTemp,beach_AirTemp,trib_BayCityCreekAtHwy204026368_TribSc,beach_LakeshoreCurrVel,beach_NoGeese,beach_NoGulls,beach_PeopleInWater,beach_PeopleOnBeach,beach_WaveHeightManual,Whittlesey_Discharge_Diff_6,HeightAboveSeaLevel_Mean_1,HeightAboveSeaLevel_Mean_2,HeightAboveSeaLevel_Mean_6,HeightAboveSeaLevel_Mean_12,HeightAboveSeaLevel_Mean_24,HeightAboveSeaLevel_Diff_24,AirTemperature_Mean_1,AirTemperature_Mean_2,AirTemperature_Mean_6,AirTemperature_Mean_12,AirTemperature_Mean_24,AirTemperature_Mean_48,AirTemperature_Mean_72,AirTemperature_Mean_120,CloudCover_Mean_1,CloudCover_Mean_2,CloudCover_Mean_6,CloudCover_Mean_12,CloudCover_Mean_24,Wind_Mean_1_perp,Wind_Mean_2_perp,Wind_Mean_6_perp,Wind_Mean_12_perp,Wind_Mean_24_perp,Wind_Mean_1_par,Wind_Mean_2_par,Wind_Mean_6_par,Wind_Mean_12_par,Wind_Mean_24_par,AirTemperature_StDev_2,AirTemperature_StDev_6,AirTemperature_StDev_12,AirTemperature_StDev_24,AirTemperature_StDev_48,AirTemperature_StDev_72,AirTemperature_StDev_120,Sqrt.Precipitation.over.upload.kreher.Sum..1hr,Sqrt.Precipitation.over.upload.kreher.Sum..2hr,Sqrt.Precipitation.over.upload.kreher.Sum..6hr,Sqrt.Precipitation.over.upload.kreher.Sum..12hr,Sqrt.Precipitation.over.upload.kreher.Sum..24hr,Sqrt.Precipitation.over.upload.kreher.Sum..48hr,Sqrt.Precipitation.over.upload.kreher.Sum..72hr,Sqrt.Precipitation.over.upload.kreher.Sum..120hr,Sqrt.Precipitation.over.upload.maslowski.Sum..1hr,Sqrt.Precipitation.over.upload.maslowski.Sum..2hr,Sqrt.Precipitation.over.upload.maslowski.Sum..6hr,Sqrt.Precipitation.over.upload.maslowski.Sum..12hr,Sqrt.Precipitation.over.upload.maslowski.Sum..24hr,Sqrt.Precipitation.over.upload.maslowski.Sum..48hr,Sqrt.Precipitation.over.upload.maslowski.Sum..72hr,Sqrt.Precipitation.over.upload.maslowski.Sum..120hr,Sqrt.Whittlesey_ARF_Sum_1,Sqrt.Whittlesey_ARF_Sum_2,Sqrt.Whittlesey_ARF_Sum_6,Sqrt.Whittlesey_ARF_Sum_12,Sqrt.Whittlesey_ARF_Sum_24,Sqrt.Whittlesey_ARF_Sum_48,Sqrt.Whittlesey_ARF_Sum_72,Sqrt.Whittlesey_ARF_Sum_120,log.Whittlesey_Discharge_Mean_1,log.Whittlesey_Discharge_Mean_2,log.Whittlesey_Discharge_Mean_6,log.Whittlesey_Discharge_Mean_12,log.Whittlesey_Discharge_Mean_24,log.Whittlesey_Discharge_Mean_48,log.Whittlesey_Discharge_Mean_72,log.Whittlesey_Discharge_Mean_120,log.Whittlesey_Discharge_Min_1,log.Whittlesey_Discharge_Min_2,log.Whittlesey_Discharge_Min_6,log.Whittlesey_Discharge_Min_12,log.Whittlesey_Discharge_Min_24,log.Whittlesey_Discharge_Min_48,log.Whittlesey_Discharge_Min_72,log.Whittlesey_Discharge_Min_120,log.Whittlesey_Discharge_Max_24,beach_AlgaeNearshore2,beach_AlgaeNearshore3,beach_AlgaeOnBeach2,beach_AlgaeOnBeach3,beach_AlgaeOnBeach4,yday,log.beach_TurbidityBeach,beach_WindVector_perp,beach_WindVector_parl
6/10/2010 11:04,0.612783857,4.1,102.6,19.4,16.4,353.6,4.2,0,2,0,0,0.25,0,0.020441175,0.042155132,0.000926001,0.006366373,-4.2e-05,0.010179249,12.903536,12.91784,11.577908,10.4520287,11.88581898,11.15928125,11.81506842,11.08741938,0.22959696,0.21385088,0.366945168,0.220418544,0.429972457,-2.8703011,-2.5885266,-0.0696782,1.39185646,0.759973426,1.1743238,0.7384753,-0.11642086,-1.591647152,-3.569805447,0.014304,1.684875595,1.677951236,2.103101004,1.70509254,2.537805664,2.459155187,0,0,0,0,0.634939147,4.830909126,5.232960532,5.562384865,0,0,0,0,1.116418161,4.83091735,5.166739872,5.373811813,0,0,0,0,0,1.004986773,1.048808169,1.099999635,1.278753601,1.278753601,1.278753601,1.283979284,1.309630167,1.341711435,1.30768854,1.283730787,1.278753601,1.278753601,1.278753601,1.278753601,1.278753601,1.230448921,1.230448921,1.230448921,1.380211242,0,0,0,0,0,161,0.100370545,3.48217837233651,-1.5213263237162
6/11/2010 11:16,2.991403303,980.4,89.2,15.5,14.2,154.6,0.5,0,6,0,0,0.25,16,0.03690978,0.036425629,0.009522094,0.012542107,0.005916993,0.01408358,11.5376625,11.4288758,11.1733689,10.44821154,11.06831048,11.47706473,11.12895766,11.29673619,1,0.985271125,0.975458222,0.959462216,0.80212723,-2.9406473,-2.7899842,-1.6648141,-0.948356007,-1.966274904,3.9563972,4.0323046,3.3955601,3.26482292,3.17742335,0.10878675,0.697988432,0.881896707,1.169063422,1.749843306,1.547784174,2.41790376,2.216884413,3.691436238,4.657388684,4.657388684,4.657388684,4.700469878,6.710361565,7.005365464,1.947344217,3.311683122,4.323488314,4.323488314,4.323488314,4.465304101,6.483079025,6.737043276,0.374167489,0.678233759,0.994988323,0.994988323,0.994988323,0.994988323,1.407125305,1.445683346,1.488550717,1.428134794,1.324282455,1.291146762,1.273695588,1.29154644,1.320354033,1.287286539,1.447158031,1.301029996,1.255272505,1.255272505,1.255272505,1.255272505,1.230448921,1.230448921,1.531478917,0,0,0,0,0,162,1.130333768,-1.28111690418206,-2.93236073459917
6/12/2010 14:57,0.491361694,3.1,187.2,17.1,13.9,201.2,6,0,12,0,20,0.25,-3,-0.05074597,-0.02938526,0.0016384,-0.002992668,0.007613847,-0.020545224,10.858103,10.9402558,10.4693352,10.02297546,10.06384331,10.49390065,10.92526423,11.18933728,0.8839429,0.91889835,0.963732765,0.981866383,0.98764536,-3.3849291,-2.82925,-2.76221032,-3.0469024,-4.15288353,1.5795587,1.3016598,1.07272245,1.501540838,2.640150998,0.08215275,0.509980799,0.583021226,0.695320335,1.0034369,1.557881093,2.01413913,0,0,0,0,0.881194438,5.751566629,5.786507272,7.775885456,0,0,0,0.217810872,0.684540415,5.019957032,5.132776043,7.203830196,0,0,0,0.10000115,0.282842592,1.240967787,1.240967787,1.624807565,1.51851394,1.519827994,1.537944959,1.576571684,1.787644639,1.632750772,1.546147671,1.468243915,1.51851394,1.51851394,1.51851394,1.51851394,1.51851394,1.255272505,1.255272505,1.230448921,2.089905111,0,0,0,0,0,163,0.012837225,5.49817637737344,-2.40209419534137
6/22/2010 10:08,2.131618664,135.4,108.2,19.9,19.8,199.9,3.4,0,2,0,9,0,-6,-0.001970925,-0.017439005,0.007372048,0.001771875,0.003954816,0.008760116,15.172716,15.385644,13.746528,12.91865946,13.87800673,14.64989194,14.16214012,14.74198914,0.9993576,0.9941856,0.740256233,0.734191897,0.744515025,-1.568323,-1.2705656,0.46620027,1.42212782,0.02345333,0.475964,-0.1918608,-0.458989382,-0.255206618,-0.002995622,0.212928,1.74758115,1.497235893,1.80962808,2.604559917,2.438410342,2.203319569,0,0,0.408220075,0.408220075,5.406647763,5.406647763,5.406647763,5.524697238,0,0,0.216346858,0.216346858,5.541832821,5.541832821,5.541832821,5.731355423,0,0,0,0,1.118033946,1.118033946,1.118033946,1.140175051,1.46834733,1.474216264,1.499274582,1.563243701,1.5132176,1.406829614,1.36660971,1.334071565,1.462397998,1.462397998,1.462397998,1.462397998,1.255272505,1.255272505,1.255272505,1.255272505,1.755874856,0,0,0,0,0,173,0.788168371,0.547315176506429,-1.39658372379379
6/23/2010 10:05,1.285557309,19.3,110.7,20.8,22.2,222.7,4.3,0,2,0,0,0.0416,-1,-0.041306213,-0.016982527,-0.000278022,-0.002405548,-0.000204698,-0.009457976,17.568483,15.795926,14.563231,14.30380671,15.16022952,14.51911812,14.82000447,14.68733448,0.3070116,0.54117235,0.682089342,0.483830862,0.332154714,0.94103,2.7675144,3.47750743,2.27443008,0.45865548,-1.86861,-1.38939488,-1.09887822,-0.894483153,-0.239525771,1.772557,1.375649629,1.079792276,1.527437784,1.79302365,2.314746965,2.264981312,0,0,0.047008957,0.047008957,1.299510836,5.560626623,5.560626623,5.560626623,0,0,0.249487146,0.522651582,2.131100555,5.93746584,5.93746584,5.93746584,0,0,0,0,0,1.118033946,1.118033946,1.118033946,1.322219295,1.324282455,1.334654767,1.345177617,1.3818368,1.452507104,1.398686354,1.353608521,1.322219295,1.322219295,1.322219295,1.322219295,1.322219295,1.255272505,1.255272505,1.255272505,1.462397998,0,0,0,0,0,174,0.357934847,1.28111690418206,2.93236073459917
7/6/2010 10:25,1.588831726,38.8,95.7,19.9,25.2,348.1,1.5,0,0,2,2,0,0,0.016449543,0.012883479,0.000428606,0.002964317,0.002093979,0.00681236,17.447847,17.274127,17.0820792,16.9541718,18.3421825,18.4126627,18.57663839,17.8455103,0.5423971,0.62856517,0.640913463,0.706455028,0.460798973,-2.4580674,-0.3448612,-0.05343327,0.71787334,-0.909662729,-0.67699001,0.904343745,-0.951151417,-0.73945763,0.114033283,0.17372,0.680849954,0.529595557,1.835382498,1.478169465,1.390828519,1.70265996,0,0,1.143521884,2.160407774,3.435091438,3.530136864,3.530136864,3.530136864,0,0,1.006300899,2.382397234,3.894955371,3.986985431,3.998202401,3.998202401,0,0,0.173207073,0.447214472,0.632455251,0.640312325,0.64807415,0.64807415,1.278753601,1.278753601,1.284656283,1.28057837,1.273001272,1.26810973,1.264558113,1.265713811,1.278753601,1.278753601,1.278753601,1.255272505,1.255272505,1.255272505,1.255272505,1.255272505,1.301029996,0,0,0,0,0,187,-1,0,0
7/7/2010 10:11,0,1,102.7,23.3,23.3,432.1,2.4,0,0,0,2,0.04166,0,0.015491958,0.00318924,0.00135974,0.001532236,-4.85e-05,0.022301688,21.139736,20.977721,18.058523,17.5355612,19.8576471,19.0999148,18.89432414,18.59433583,0,0,0.085181529,0.115936681,0.181035276,-2.0287695,-1.5583922,0.85178985,2.18078733,1.018926217,1.1732168,1.1071309,-0.15550196,-0.770744246,-0.938685109,0.162015,2.130409858,1.639369661,3.081436697,2.64690362,2.255157695,2.014454605,0,0,0,0,0,3.435091438,3.530136864,3.530136864,0,0,0,0,0,3.894955371,3.986985431,3.998202401,0,0,0,0,0,0.632455251,0.64807415,0.64807415,1.260071388,1.257678575,1.255995727,1.255513713,1.257438567,1.265242469,1.264534495,1.263138771,1.255272505,1.255272505,1.255272505,1.255272505,1.255272505,1.255272505,1.255272505,1.255272505,1.278753601,0,0,0,0,0,188,-0.744727495,4.5818136478112,-2.00174516278448
7/12/2010 10:07,2.638688887,435.2,102.8,21.3,21.6,389.9,2,30,0,0,0,0,-1,0.00239338,0.001630465,0.0065881,0.004594509,0.002842959,0.007347734,19.34051,18.84371,16.75881708,16.47317921,17.99850415,18.87542349,18.99281304,18.7714548,0.003530101,0.001765051,0.054804544,0.097067517,0.246938829,-2.5829136,-1.9107574,1.4327189,0.836087578,0.787158579,1.2314199,-0.0466961,-1.35430058,-2.576324488,-2.862703575,0.4968005,1.776226894,1.386377701,2.096157324,1.953901706,2.217684554,2.331384474,0,0,0,0,1.901062547,1.908684248,1.908684248,1.908684248,0,0,0,0,1.82207755,1.849244083,1.849244083,1.849244083,0,0,0,0,0.774596895,0.774596895,0.774596895,0.774596895,1.257678575,1.260071388,1.266936911,1.272305844,1.288696261,1.269115827,1.263659735,1.259641653,1.255272505,1.255272505,1.255272505,1.255272505,1.255272505,1.230448921,1.230448921,1.230448921,1.462397998,1,0,1,0,0,193,-0.602059991,3.84872346416141,-1.68146593673896
7/13/2010 10:21,2.04060234,109.8,101.3,20.5,25.7,438,2.7,0,0,0,0,0.08333,0,-0.015133888,-0.005149437,0.000493892,-0.001365425,0.000858313,-0.005731172,19.905878,19.629106,17.2044043,16.155431,17.5689238,17.78371399,18.4399236,18.62839654,0,0,0.242010598,0.195984585,0.104921039,-2.6200226,-2.1105488,1.25266127,2.427001836,0.07768768,2.6789243,1.9598249,0.588693565,0.282431241,1.245561812,0.2767715,2.045098309,1.79717888,2.080404287,2.099312643,2.089777233,2.361232798,0,0,0,0,0,1.901062547,1.908684248,1.908684248,0,0,0,0,0,1.82207755,1.849244083,1.849244083,0,0,0,0,0,0.774596895,0.774596895,0.774596895,1.255272505,1.255272505,1.255272505,1.255272505,1.255272505,1.272352241,1.264558113,1.259641653,1.255272505,1.255272505,1.255272505,1.255272505,1.255272505,1.255272505,1.230448921,1.230448921,1.255272505,0,0,0,0,0,194,-0.48148606,1.49599481578424,-3.81732884503637
7/19/2010 10:25,0,1,92.4,21.7,24.9,325.1,1.25,25,3,0,0,0,0,-0.004267481,-0.007501498,-0.00147274,-0.00017693,0.001931274,0.007277142,19.526468,19.552755,17.4368585,17.155388,18.689009,18.6164143,18.63978938,18.62436789,0,0,0.051033303,0.22221254,0.214604291,-1.2248932,-0.0558265,2.44466113,2.55516003,0.424136562,-1.0696748,-0.76372481,-0.720728503,-1.20846336,-0.405906801,0.026287,1.576559645,1.298581812,2.170615272,1.986411802,2.006608957,1.680547429,0,0,0,0.886698449,0.898522813,3.644065315,3.644065315,5.06923739,0,0,0,0.662078606,0.887580334,3.732353873,3.732353873,5.306546082,0,0,0,0,0,0.223609369,0.223609369,0.793726103,1.255272505,1.255272505,1.255272505,1.255272505,1.258397804,1.256116147,1.253119834,1.261453203,1.255272505,1.255272505,1.255272505,1.255272505,1.255272505,1.230448921,1.230448921,1.230448921,1.301029996,0,0,0,0,0,200,-0.327902142,0,0
